4762,341,996.81
4772,343,1000.42
4782,345,1003.84
4792,348,1006.94
4802,350,1010.22
4812,353,1013.77
4822,355,1017.42
4832,358,1020.94
4842,360,1024.42
4852,363,1027.78
4862,365,1031.63
4872,367,1035.31
4882,370,1039.30
4892,372,1042.84
4902,375,1046.50
4912,377,1050.58
4922,380,1054.08
4932,382,1057.95
4942,385,1061.64
4952,387,1065.52
4962,390,1069.41
4972,392,1073.30
4982,395,1077.48
4992,397,1081.23
5002,400,1085.09
5012,403,1089.27
5022,405,1093.11
5032,408,1097.06
5042,410,1101.36
5052,413,1105.61
5062,415,1109.34
5072,418,1113.67
5082,420,1117.91
5092,423,1121.83
5102,425,1126.00
5112,428,1130.16
5122,430,1134.73
5132,433,1138.70
5142,435,1143.34
5152,437,1147.41
5162,440,1151.75
5172,442,1156.13
5182,445,1160.48
5192,447,1165.17
5202,450,1169.73
5212,452,1174.19
5222,455,1178.34
5232,457,1183.23
5242,459,1187.38
5252,462,1192.33
5262,464,1196.92
5272,467,1201.48
5282,469,1206.25
5292,471,1210.75
5302,474,1215.56
5312,476,1220.30
5322,478,1224.84
5332,481,1229.86
5342,483,1234.66
5352,485,1239.47
5362,487,1244.31
5372,490,1249.23
5382,492,1254.14
5392,494,1259.08
5402,496,1264.03
5412,498,1269.00
5422,501,1273.84
5432,503,1279.05
5442,505,1284.11
5452,507,1289.17
5462,509,1294.45
5472,511,1299.55
5482,513,1304.45
5492,515,1309.59
5502,517,1314.95
5512,519,1319.84
5522,521,1324.75
5532,523,1330.25
5542,525,1335.69
5552,527,1340.61
5562,529,1345.91
5572,531,1351.22
5582,533,1356.72
5592,535,1361.70
5602,537,1367.06
5612,539,1372.44
5622,540,1377.94
5632,542,1383.39
5642,544,1388.55
5652,546,1394.02
5662,547,1399.73
5672,549,1404.88
5682,551,1410.38
5692,552,1415.84
5702,554,1421.36
5712,556,1426.77
5722,557,1432.47
5732,559,1438.22
5742,560,1443.89
5752,562,1449.48
5762,563,1454.80
5772,564,1460.47
5782,566,1466.11
5792,567,1471.81
5802,569,1477.70
5812,570,1483.36
5822,571,1488.81
5832,573,1494.91
5842,574,1500.48
5852,575,1506.09
5862,576,1511.98
5872,577,1517.78
5882,578,1523.23
5892,580,1529.27
5902,581,1534.88
5912,582,1540.75
5922,583,1546.70
5932,584,1552.59
5942,585,1558.44
5952,586,1564.34
5962,587,1570.22
5972,587,1575.84
5982,588,1581.95
5993,589,1587.84
6003,590,1594.33
6013,591,1600.19
6023,591,1606.08
6033,592,1611.91
6043,593,1617.81
6053,593,1623.94
6063,594,1629.78
6073,595,1635.92
6083,595,1641.97
6093,596,1647.88
6103,596,1653.91
6113,597,1659.91
6123,597,1665.81
6133,597,1671.70
6143,598,1677.83
6153,598,1683.89
6163,598,1689.81
6173,599,1695.70
6183,599,1701.83
6193,599,1707.89
6203,599,1713.89
6213,599,1719.89
6223,599,1725.91
6233,599,1731.92
6243,599,1737.78
6253,599,1743.94
6263,599,1749.77
6273,599,1755.80
6283,599,1761.80
6293,599,1767.81
6303,599,1773.94
6313,599,1779.81
6323,599,1785.88
6333,598,1791.88
6343,598,1797.77
6353,598,1804.11
6363,597,1810.16
6373,597,1815.84
6383,597,1821.77
6393,596,1827.86
6403,596,1833.88
6413,595,1839.98
6423,595,1845.80
6433,594,1851.89
6443,594,1857.97
6453,593,1863.89
6463,592,1869.89
6473,592,1875.77
6483,591,1881.69
6493,590,1887.55
6503,589,1893.61
6513,589,1899.48
6523,588,1905.34
6533,587,1911.16
6543,586,1917.02
6553,585,1922.69
6563,584,1928.58
6573,583,1934.48
6583,582,1940.59
6593,581,1946.19
6603,580,1952.05
6613,579,1957.89
6623,578,1963.56
6633,577,1969.61
6643,576,1975.42
6653,574,1981.22
6663,573,1986.89
6673,572,1992.73
6683,571,1998.38
6693,569,2004.06
6703,568,2009.56
6713,567,2015.31
6723,565,2021.06
6733,564,2026.78
6743,562,2032.66
6753,561,2038.23
6763,559,2043.88
6773,558,2049.41
6783,556,2054.73
6793,555,2060.34
6803,553,2065.83
6813,551,2071.69
6823,550,2077.00
6833,548,2082.69
6843,546,2088.23
6853,545,2093.48
6863,543,2098.98
6873,541,2104.66
6883,539,2109.83
6893,538,2115.45
6903,536,2120.61
6913,534,2126.20
6923,532,2131.42
6933,530,2136.77
6943,528,2142.11
6953,526,2147.39
6963,524,2152.70
6973,522,2157.78
6983,520,2163.45
6993,518,2168.41
7003,516,2173.67
7013,514,2178.77
7023,512,2183.89
7033,510,2189.13
7043,508,2194.27
7053,506,2199.38
7063,504,2204.47
7073,502,2209.45
7083,500,2214.56
7093,497,2219.64
7103,495,2224.59
7113,493,2229.56
7123,491,2234.64
7133,489,2239.58
7143,486,2244.52
7153,484,2249.42
7163,482,2254.34
7173,479,2259.19
7183,477,2263.80
7193,475,2268.86
7203,472,2273.64
7213,470,2278.42
7223,468,2283.17
7233,465,2287.94
7243,463,2292.63
7253,461,2297.03
7263,458,2301.91
7273,456,2306.27
7283,453,2310.89
7293,451,2315.67
7303,449,2320.14
7313,446,2324.72
7323,444,2329.19
7333,441,2333.34
7343,439,2337.80
7353,436,2342.20
7363,434,2346.81
7373,431,2350.98
7383,429,2355.45
7393,426,2359.50
7403,424,2363.67
7413,421,2368.05
7423,419,2372.19
7433,416,2376.38
7443,414,2380.98
7453,411,2384.64
7463,409,2389.33
7473,406,2392.92
7483,404,2397.17
7493,401,2401.13
7503,399,2405.06
7513,396,2409.31
7523,394,2413.16
7533,391,2416.78
7543,389,2420.91
7553,386,2424.75
7563,384,2428.83
7573,381,2432.64
7583,379,2436.72
7593,376,2440.19
7603,374,2443.81
7613,371,2447.73
7623,369,2451.47
7633,366,2455.28
7643,364,2458.95
7653,361,2462.61
7663,359,2466.27
7674,356,2469.94
7684,354,2473.92
7694,351,2477.50
7704,349,2480.81
7714,346,2484.63
7724,344,2487.86
7734,342,2491.63
7744,339,2494.83
7754,337,2498.16
7764,334,2501.44
7774,332,2504.95
7784,330,2508.50
7794,327,2511.61
7804,325,2514.84
7814,323,2518.22
7824,320,2521.44
7834,318,2524.38
7844,316,2527.97
7854,313,2530.80
7864,311,2533.88
7874,309,2536.95
7884,307,2539.77
7894,304,2543.05
7904,302,2546.08
7914,300,2549.09
7924,298,2552.11
7934,296,2555.16
7945,293,2557.75
7955,291,2561.23
7965,289,2564.30
7975,287,2566.78
7985,285,2569.81
7995,283,2572.88
8005,281,2575.59
8015,279,2578.39
8025,277,2581.52
8035,275,2584.06
8045,273,2586.84
8055,271,2589.80
8065,269,2592.45
8075,267,2594.84
8085,265,2597.56
8095,264,2600.23
8105,262,2602.95
8115,260,2605.59
8125,258,2608.20
8135,256,2610.91
8145,255,2613.22
8155,253,2615.86
8165,251,2618.31
8175,249,2620.97
8185,248,2623.39
8195,246,2625.83
8205,245,2628.42
8215,243,2630.86
8225,241,2633.38
8235,240,2635.81
8245,238,2638.19
8255,237,2640.61
8265,236,2642.77
8275,234,2645.41
8285,233,2647.83
8295,231,2650.16
8305,230,2652.53
8315,229,2654.86
8325,227,2657.13
8335,226,2659.48
8345,225,2661.80
8355,224,2663.80
8365,222,2666.23
8375,221,2668.53
8385,220,2670.78
8395,219,2672.75
8406,218,2674.89
8416,217,2677.63
8426,216,2679.80
8436,215,2681.98
8446,214,2683.84
8456,213,2686.19
8466,212,2688.36
8476,211,2690.50
8486,210,2692.66
8496,210,2694.77
8506,209,2696.86
8516,208,2698.98
8526,207,2700.77
8536,207,2702.55
8546,206,2704.81
8556,205,2706.75
8566,205,2708.84
8576,204,2710.28
8586,204,2712.69
8596,203,2714.63
8606,203,2716.14
8616,202,2718.42
8626,202,2720.27
8636,202,2722.03
8646,201,2724.20
8656,201,2725.59
8666,201,2727.92
8676,200,2729.84
8686,200,2731.50
8696,200,2733.83
8706,200,2735.97
8716,200,2737.38
8726,200,2739.89
8736,200,2741.95
8746,200,2743.27
8756,200,2745.94
8766,200,2747.66
8776,200,2749.16
8786,200,2751.50
8796,200,2753.38
8806,200,2755.06
8816,200,2757.31
8826,200,2758.66
8836,201,2761.23
8846,201,2762.56
8856,201,2764.94
8866,202,2766.88
8876,202,2768.48
8886,202,2770.84
8896,203,2772.80
8906,203,2774.38
8916,204,2776.75
8926,204,2778.89
8936,205,2780.31
8946,206,2782.88
8956,206,2784.78
8966,207,2786.27
8976,208,2788.80
8986,208,2790.78
8996,209,2792.28
9006,210,2794.86
9016,211,2796.84
9026,211,2798.86
9036,212,2800.80
9046,213,2802.86
9056,214,2805.23
9066,215,2807.45
9076,216,2809.73
9086,217,2811.75
9096,218,2814.20
