pos_ref,pos,eg_rpm,gb_rpm
194,189,1714,0
194,189,1714,0
195,190,1714,0
196,190,1785,0
196,190,1678,0
197,191,1714,0
197,191,1857,0
198,191,1821,0
198,192,1785,0
199,192,1857,0
200,193,1892,0
200,193,1857,0
201,194,1857,0
201,194,1928,0
202,195,1892,0
203,195,1892,0
203,196,1964,0
204,196,1928,0
204,197,1928,0
205,197,1964,0
206,198,1964,0
206,198,1928,0
207,199,2000,0
207,199,1964,0
208,200,1964,0
209,201,2000,0
209,201,2000,0
210,201,1964,0
210,202,2000,0
211,203,1964,0
212,203,2000,0
212,204,2000,0
213,204,2000,0
213,205,2000,0
214,205,1928,0
214,206,1964,0
215,207,1964,0
215,208,2000,0
216,208,1928,0
217,208,1964,0
217,209,1964,0
218,210,1928,0
218,210,1928,0
219,211,1964,0
219,211,2000,0
220,212,1928,0
220,213,1928,0
220,214,1928,0
221,213,1892,0
221,214,1928,0
222,215,2000,0
222,215,1892,0
223,216,1964,0
223,216,2000,0
223,217,1892,0
224,217,1964,0
224,218,1964,0
224,218,1892,0
225,219,1964,0
225,219,1928,0
225,220,2000,0
226,220,1928,0
226,221,1928,0
226,221,1892,0
226,222,1892,0
227,222,1857,0
227,222,1892,0
227,223,1857,0
227,223,1821,0
227,223,1857,0
228,224,1857,0
228,224,1857,0
228,224,1857,0
228,225,1821,0
228,225,1821,0
228,225,1857,0
228,226,1821,0
228,226,1785,0
228,226,1821,0
228,226,1821,0
228,227,1785,0
228,227,1857,0
228,227,1785,0
228,227,1785,0
228,227,1821,0
228,227,1785,0
228,228,1750,0
228,228,1750,0
228,228,1821,0
228,228,1821,0
228,228,1785,0
228,228,1785,0
228,228,1785,0
227,228,1750,0
227,228,1785,0
227,228,1857,0
227,228,1821,0
226,228,1857,0
226,229,1928,0
226,229,1892,0
226,229,1928,0
225,229,2000,0
225,229,2035,0
225,229,2000,0
224,228,2107,0
224,229,2285,0
224,228,2142,0
223,228,2892,0
223,228,2250,0
223,228,2392,0
222,228,2321,0
222,228,2678,0
221,228,3250,0
221,228,3000,0
221,228,2857,0
220,228,4178,0
220,227,2785,0
219,227,2928,0
219,227,3178,0
218,226,4392,0
218,226,5107,0
217,226,5392,0
217,225,3928,0
216,225,3035,0
216,225,3214,0
215,224,5214,0
215,224,4607,0
214,224,2464,0
213,223,5642,0
213,223,5678,0
212,223,3642,0
212,222,5107,0
211,222,3857,0
211,222,3750,0
210,221,5785,0
209,220,4821,0
209,220,4428,0
208,219,3928,0
208,218,3892,0
207,218,4892,0
206,218,3500,0
206,217,3535,0
205,216,5500,0
205,216,2892,0
204,215,5321,0
203,215,4214,0
203,214,3428,0
202,214,6178,0
202,213,3821,0
201,213,5857,0
200,212,2857,0
200,212,2964,0
199,211,3142,0
199,211,4500,0
198,210,4714,0
197,209,2857,0
197,209,3107,0
196,208,7250,0
196,207,3071,0
195,207,3250,0
195,206,2785,0
194,206,3571,0
194,205,3928,0
193,205,4678,0
192,204,2714,0
192,203,5607,0
191,203,2714,0
191,202,2714,0
190,202,3214,0
190,201,2928,0
189,201,6821,0
189,200,4285,0
189,200,3785,0
188,199,5071,0
188,199,3321,0
187,198,5607,0
187,198,3750,0
186,197,2678,0
186,197,3892,0
186,196,3428,0
185,196,2714,0
185,195,2392,0
185,195,2857,0
184,194,4071,0
184,194,2642,0
184,193,2285,0
183,193,3785,0
183,192,2357,0
183,192,2535,0
183,192,2214,0
182,191,2607,0
182,191,2464,0
182,190,2285,0
182,190,2321,0
182,190,2214,0
181,189,2214,0
181,189,2214,0
181,189,2214,0
181,188,2392,0
181,188,2250,0
181,188,2178,0
181,188,2250,0
181,187,2250,0
181,187,2178,0
181,187,2178,0
181,186,2142,0
181,186,2214,0
181,186,2178,0
181,186,2250,0
181,186,2500,0
181,186,2571,0
181,186,2142,0
181,185,3321,0
181,185,2500,0
181,185,2250,0
181,185,2214,0
181,185,2285,0
181,185,3142,0
182,185,2178,0
182,185,2357,0
182,185,2142,0
182,185,2178,0
183,185,2142,0
183,185,4428,0
183,185,2142,0
